"MLBAMID","Name"
425545,"Josh Willingham"
467055,"Pablo Sandoval"
150289,"Carlos Pena"
117244,"Paul Konerko"
430947,"Erick Aybar"
668804,"Bryan Reynolds"
650402,"Gleyber Torres"
594809,"Adam Eaton"
502054,"Tommy Pham"
150421,"Ramon Hernandez"
435622,"Ian Desmond"
430637,"Kelly Johnson"
593871,"Jorge Polanco"
669221,"Sean Murphy"
333492,"Aubrey Huff"
430001,"Rickie Weeks Jr."
683002,"Gunnar Henderson"
458675,"Colby Rasmus"
493351,"Alexei Ramirez"
641487,"J.P. Crawford"
650490,"Yandy Díaz"
641313,"Tim Anderson"
113660,"Ray Durham"
682998,"Corbin Carroll"
543228,"Yan Gomes"
543939,"Kolten Wong"
572287,"Mike Zunino"
150100,"Pat Burrell"
465041,"Francisco Cervelli"
110189,"Moises Alou"
570731,"Jonathan Schoop"
429711,"Franklin Gutierrez"
669242,"Tommy Edman"
621035,"Chris Taylor"
455759,"Chris Young"
150212,"Michael Cuddyer"
430583,"Jason Bartlett"
606192,"Teoscar Hernández"
661388,"William Contreras"
664040,"Brandon Lowe"
150456,"Adam Kennedy"
578428,"Jose Iglesias"
592626,"Joc Pederson"
279578,"Marcus Giles"
400290,"Austin Kearns"
444482,"David Peralta"
488671,"Alex Avila"
467092,"Wilson Ramos"
116974,"Jason Kendall"
572233,"Christian Walker"
664056,"Harrison Bader"
136731,"Corey Koskie"
459964,"Matt Joyce"
542255,"Ender Inciarte"
434567,"Geovany Soto"
408108,"Freddy Sanchez"
665926,"Andrés Giménez"
488771,"Jason Castro"
500871,"Eduardo Escobar"
123660,"Jason Varitek"
543877,"Christian Vázquez"
446308,"Matt Wieters"
668227,"Randy Arozarena"
656775,"Cedric Mullins"
519058,"Mike Moustakas"
346857,"Nick Punto"
571976,"Wil Myers"
680757,"Steven Kwan"
452672,"Ryan Hanigan"
630105,"Jake Cronenworth"
668939,"Adley Rutschman"
276376,"Nick Johnson"
452220,"Stephen Drew"
276346,"Brandon Inge"
466320,"Melky Cabrera"
672386,"Alejandro Kirk"
592192,"Mark Canha"
117863,"Kenny Lofton"
457727,"Cameron Maybin"
660162,"Yoán Moncada"
500743,"Miguel Rojas"
275930,"David Eckstein"
665161,"Jeremy Peña"
665862,"Jazz Chisholm Jr."
596142,"Gary Sánchez"
514917,"César Hernández"
543281,"Josh Harrison"
132961,"Geoff Jenkins"
348563,"Morgan Ensberg"
657656,"Ramón Laureano"
592206,"Nick Castellanos"
545341,"Randal Grichuk"
117928,"Mark Loretta"
115210,"Mark Grudzielanek"
452234,"Seth Smith"
123744,"Omar Vizquel"
